desc,physicalObject,OSMtidyStage,category_OSMtidy,category_mod
Business and commerce; Accountants and auditors,Accountancy firms,fromFilters,Business and commerce,Business and commerce
Business and commerce; Tax advisor,Accountancy firms,fromFilters,Business and commerce,Business and commerce
Business and commerce; Advertising and graphic design,Advertising,fromFilters,Business and commerce,Business and commerce
Business and commerce; Public relations,Advertising,fromFilters,Business and commerce,Business and commerce
Food production and horticulture; Agriculture,Agriculture,fromFilters,Food production and horticulture,Food production and horticulture
Food production and horticulture; Bee keeping,Agriculture,fromFilters,Food production and horticulture,Food production and horticulture
Food production and horticulture; Dairy,Agriculture,fromFilters,Food production and horticulture,Food production and horticulture
Food production and horticulture; Farming,Agriculture,fromFilters,Food production and horticulture,Food production and horticulture
Food production and horticulture; Greenhouses and glasshouses,Agriculture,fromFilters,Food production and horticulture,Food production and horticulture
Food production and horticulture; Horticulture,Agriculture,fromFilters,Food production and horticulture,Food production and horticulture
Food production and horticulture; Livestock,Agriculture,fromFilters,Food production and horticulture,Food production and horticulture
Food production and horticulture; Orchard,Agriculture,fromFilters,Food production and horticulture,Food production and horticulture
Food production and horticulture; Tree and plant nurseries,Agriculture,fromFilters,Food production and horticulture,Food production and horticulture
Outdoors and natural environment; Allotments and community gardens,Agriculture,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Governance; Ambulance station,Ambulance stations,fromFilters,Governance,Governance
Animal; Boarding,Animal care,fromFilters,Animal,Animal
Retail; Pet,Animal care,fromFilters,Retail,Retail
Trades and services; Animal grooming,Animal care,fromFilters,Trades and services,Trades and services
Animal; Shelter and welfare,Animal shelters,fromFilters,Animal,Animal
Retail; Boutique,Apparel retail,fromFilters,Retail,Retail
Retail; Clothing,Apparel retail,fromFilters,Retail,Retail
Retail; Clothing accessories,Apparel retail,fromFilters,Retail,Retail
Trades and services; Dry cleaning and laundrette,Apparel services,fromFilters,Trades and services,Trades and services
Trades and services; Tailor,Apparel services,fromFilters,Trades and services,Trades and services
Attractions; Aquarium,Aquariums,fromFilters,Attractions,Attractions
Waterway; Aquaducts and viaducts,Aqueducts and viaducts,fromFilters,Waterway,Water
Military; Barracks,Armed forces barracks,fromFilters,Military,Military
Military; Administration,Armed forces offices,fromFilters,Military,Military
Military; Reserves,Armed forces offices,fromFilters,Military,Military
Military; Land,Armed forces training grounds,fromFilters,Military,Military
Military; Parade grounds,Armed forces training grounds,fromFilters,Military,Military
Military; Training grounds,Armed forces training grounds,fromFilters,Military,Military
Healthcare; Hospice,Assisted living (health),fromFilters,Healthcare,Healthcare
Social facility; Drug rehabilitation,Assisted living (health),fromFilters,Social facility,Social facility
Social facility; Supported housing (health),Assisted living (health),fromFilters,Social facility,Social facility
Social facility; Supported housing (social),Assisted living (social),fromFilters,Social facility,Social facility
Amenity; ATM,ATMs,fromFilters,Amenity,Amenity
Attractions,Attractions,fromFilters,Attractions,Attractions
Attractions; Amusement arcade,Attractions,fromFilters,Attractions,Attractions
Attractions; Bowling alley,Attractions,fromFilters,Attractions,Attractions
Attractions; Escape room,Attractions,fromFilters,Attractions,Attractions
Attractions; Go Karting centre,Attractions,fromFilters,Attractions,Attractions
Attractions; Karaoke,Attractions,fromFilters,Attractions,Attractions
Attractions; Miniature railway,Attractions,fromFilters,Attractions,Attractions
Attractions; Multiplex,Attractions,fromFilters,Attractions,Attractions
Attractions; Paintball,Attractions,fromFilters,Attractions,Attractions
Attractions; Trampoline park,Attractions,fromFilters,Attractions,Attractions
Attractions; Water and theme parks,Attractions,fromFilters,Attractions,Attractions
Sports and games; Racing and motor sport,Attractions,fromFilters,Sports and games,Sports and games
Retail; Auction house,Auction houses,fromFilters,Retail,Retail
Vehicles; Retail,Automotive retail,fromFilters,Vehicles,Vehicles
Business and commerce; Bank office,Bank headquarters,fromFilters,Business and commerce,Business and commerce
Business and commerce; Bank,Banks,fromFilters,Business and commerce,Business and commerce
Business and commerce; Banks and building societies,Banks,fromFilters,Business and commerce,Business and commerce
Business and commerce; Credit union,Banks,fromFilters,Business and commerce,Business and commerce
Barrier,"Barriers, gates, and fences",fromFilters,Barrier,Transport infrastructure
Barrier; Bollard,"Barriers, gates, and fences",fromFilters,Barrier,Transport infrastructure
Barrier; Cycle,"Barriers, gates, and fences",fromFilters,Barrier,Transport infrastructure
Barrier; Height restriction,"Barriers, gates, and fences",fromFilters,Barrier,Transport infrastructure
Barrier; Wall,"Barriers, gates, and fences",fromFilters,Barrier,Transport infrastructure
Attractions; Burlesque club,Bars and nightclubs,fromFilters,Attractions,Attractions
Attractions; Caberet club,Bars and nightclubs,fromFilters,Attractions,Attractions
Attractions; Nightclub,Bars and nightclubs,fromFilters,Attractions,Attractions
Attractions; Pool hall,Bars and nightclubs,fromFilters,Attractions,Attractions
Hospitality; Bar,Bars and nightclubs,fromFilters,Hospitality,Hospitality
University; Student union,Bars and nightclubs,fromFilters,University,University
Outdoors and natural environment; Beach,Beaches,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Retail; Beauty and cosmetics,Beauty services,fromFilters,Retail,Retail
Trades and services; Beauty industry,Beauty services,fromFilters,Trades and services,Trades and services
Training; Beauty school,Beauty services,fromFilters,Training,Training
Amenity; Public trash bin,Bins,fromFilters,Amenity,Amenity
Waste management; Communal recycling bin,Bins,fromFilters,Waste management,Waste management
Waste management; Communal rubbish bin,Bins,fromFilters,Waste management,Waste management
Healthcare; Blood bank,Blood banks,fromFilters,Healthcare,Healthcare
Attractions; Botanical garden,Botanical gardens,fromFilters,Attractions,Attractions
Transport infrastructure; Bridge,Bridges,fromFilters,Transport infrastructure,Transport infrastructure
Telecommunications; Office,Broadband provider offices,fromFilters,Telecommunications,Telecommunications
Business and commerce; Production company,Broadcasting,fromFilters,Business and commerce,Business and commerce
Telecommunications; Broadcasting studio,Broadcasting,fromFilters,Telecommunications,Telecommunications
Brownfield site,Brownfield sites,fromFilters,Brownfield site,Outdoors and natural environment
Brownfield sites,Brownfield sites,fromValidation,Brownfield site,Outdoors and natural environment
Transport infrastructure; Railway land,Brownfield sites,fromFilters,Transport infrastructure,Transport infrastructure
Public transport; Bus station,Bus stations,fromFilters,Public transport,Public transport
Public transport; Bus stop,Bus stops,fromFilters,Public transport,Public transport
Business and commerce; Chambers,Business services,fromFilters,Business and commerce,Business and commerce
Manufacturing; Signmaker,Business services,fromFilters,Manufacturing,Manufacturing
Retail; Printing and copying,Business services,fromFilters,Retail,Retail
Trades and services; Business,Business services,fromFilters,Trades and services,Trades and services
Training; Meeting and training space,Business services,fromFilters,Training,Training
Hospitality; Cafe,Cafes,fromFilters,Hospitality,Hospitality
Hospitality; Cafes and coffee shops,Cafes,fromFilters,Hospitality,Hospitality
Hospitality; Camping,Camping grounds,fromFilters,Hospitality,Hospitality
Waterway; Canal,Canals,fromFilters,Waterway,Water
Waterway; Canal lock,Canals,fromFilters,Waterway,Water
Business and commerce; Employment and recruitment agencies,Career and employment support services,fromFilters,Business and commerce,Business and commerce
Business and commerce; Recruitment,Career and employment support services,fromFilters,Business and commerce,Business and commerce
Social facility; Careers advice,Career and employment support services,fromFilters,Social facility,Social facility
Social facility; Job centre,Career and employment support services,fromFilters,Social facility,Social facility
Attractions; Betting shop,Casinos and gaming,fromFilters,Attractions,Attractions
Attractions; Bingo hall,Casinos and gaming,fromFilters,Attractions,Attractions
Attractions; Casinos and gaming,Casinos and gaming,fromFilters,Attractions,Attractions
Attractions; Historic,Historic attractions,fromFilters,Attractions,Attractions
Historic; Castle,Historic attractions,fromFilters,Historic,Historic
Religious sites and buildings; Cemeteries and graveyards,Cemeteries,fromFilters,Religious sites and buildings,Religious sites and buildings
Business and commerce; NGO,Charity organisations,fromFilters,Business and commerce,Business and commerce
Regeneration programme,Charity organisations,fromFilters,Regeneration programme,Governance
Social facility; Charitable organisation offices or facilities,Charity organisations,fromFilters,Social facility,Social facility
Social facility; Salvation Army,Charity organisations,fromFilters,Social facility,Social facility
Retail; Charitable organisation,Charity shops,fromFilters,Retail,Retail
Retail; Charity shop,Charity shops,fromFilters,Retail,Retail
Community centres; Breakfast & after school clubs and youth centres,Children's clubs,fromFilters,Community centres,Community centres
Community centres; Social clubs,Children's clubs,fromFilters,Community centres,Community centres
Community centres; Youth organisations,Children's clubs,fromFilters,Community centres,Community centres
Attractions; Cinema,Cinemas,fromFilters,Attractions,Attractions
Social facility; Citizens advice,Citizens Advice Bureaus,fromFilters,Social facility,Social facility
Outdoors and natural environment; Commons and gardens,Common green areas,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Outdoors and natural environment; Forest and woodland,Common green areas,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Outdoors and natural environment; Village greens,Common green areas,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Community centres,Community centres,fromFilters,Community centres,Community centres
"Community centres; Hall (Town, village or church)",Community centres,fromFilters,Community centres,Community centres
Business and commerce; Appliances,Computer and electronics retail and services,fromFilters,Business and commerce,Business and commerce
Retail; Audiovisual,Computer and electronics retail and services,fromFilters,Retail,Retail
Retail; Electronics and household appliances,Computer and electronics retail and services,fromFilters,Retail,Retail
Retail; IT and software,Computer and electronics retail and services,fromFilters,Retail,Retail
Trades and services; Electronics repair,Computer and electronics retail and services,fromFilters,Trades and services,Trades and services
Exhibition centres; Conference centres,Conference and exhibition centres (general),fromFilters,Exhibition centres,Attractions
Exhibition centres; Events venue,Conference and exhibition centres (general),fromFilters,Exhibition centres,Attractions
Exhibition centres; Ice rink,Conference and exhibition centres (general),fromFilters,Exhibition centres,Attractions
Exhibition centres; Stadiums and arenas,Conference and exhibition centres (general),fromFilters,Exhibition centres,Attractions
Business and commerce; Engineering,Construction and engineering,fromFilters,Business and commerce,Business and commerce
Road and rail maintenance,Construction and engineering,fromFilters,Road and rail maintenance,Industry
Trades and services; Builder,Construction and engineering,fromFilters,Trades and services,Trades and services
Business and commerce; Money transfer and currency exchange,Consumer finance,fromFilters,Business and commerce,Business and commerce
Business and commerce; Pawnbrokers and money lenders,Consumer finance,fromFilters,Business and commerce,Business and commerce
Buildings; Council offices,Council offices,fromFilters,Buildings,Buildings
"Social facility; Government, financial services",Council offices,fromFilters,Social facility,Social facility
Social facility; Housing office,Council offices,fromFilters,Social facility,Social facility
Logistics; Courier,Couriers,fromFilters,Logistics,Logistics
Buildings; Courthouses,Courthouses,fromFilters,Buildings,Buildings
Business and commerce; Business centres and managed / serviced offices,Coworking office spaces,fromFilters,Business and commerce,Business and commerce
Business and commerce; Coworking office,Coworking office spaces,fromFilters,Business and commerce,Business and commerce
Creative spaces; Art studios and centres,Creative spaces,fromFilters,Creative spaces,Creative spaces
Creative spaces; Dance studios,Creative spaces,fromFilters,Creative spaces,Creative spaces
Creative spaces; Photo studios and photographers,Creative spaces,fromFilters,Creative spaces,Creative spaces
Creative spaces; Recording studios,Creative spaces,fromFilters,Creative spaces,Creative spaces
Manufacturing; Glassblower,Creative spaces,fromFilters,Manufacturing,Manufacturing
Manufacturing; Potter,Creative spaces,fromFilters,Manufacturing,Manufacturing
Manufacturing; Sculptor,Creative spaces,fromFilters,Manufacturing,Manufacturing
Training; Cooking,Creative spaces,fromFilters,Training,Training
Training; Language school,Creative spaces,fromFilters,Training,Training
Training; School of performing arts,Creative spaces,fromFilters,Training,Training
University; Conservatoire,Creative spaces,fromFilters,University,University
Traffic crossings; Bicycle,Crossings,fromFilters,Traffic crossings,Traffic crossings
Traffic crossings; Controlled / signalled,Crossings,fromFilters,Traffic crossings,Traffic crossings
Traffic crossings; Ford,Crossings,fromFilters,Traffic crossings,Traffic crossings
Traffic crossings; Level crossing,Crossings,fromFilters,Traffic crossings,Traffic crossings
Traffic crossings; Uncontrolled,Crossings,fromFilters,Traffic crossings,Traffic crossings
Social facility; Day care (not children),Day centres,fromFilters,Social facility,Social facility
Trades and services; Death care,Death-care services,fromFilters,Trades and services,Trades and services
Healthcare; Dental,Dental and orthodontal practices,fromFilters,Healthcare,Healthcare
Hospitality; Caterer,Dining and catering services,fromFilters,Hospitality,Hospitality
Trades and services; Caterer,Dining and catering services,fromFilters,Trades and services,Trades and services
Trades and services; Mobile caterer,Dining and catering services,fromFilters,Trades and services,Trades and services
Governance; Diplomacy,Diplomatic buildings,fromFilters,Governance,Governance
Industry; Warehouse,Distribution centres,fromFilters,Industry,Industry
Logistics; Distribution centre,Distribution centres,fromFilters,Logistics,Logistics
Logistics; Distribution centre (supermarket),Distribution centres,fromFilters,Logistics,Logistics
Logistics; Warehouses and sorting offices,Distribution centres,fromFilters,Logistics,Logistics
Training; Driving schools and test centres,Driving schools,fromFilters,Training,Training
Food retail; Delicatessan,Eateries,fromFilters,Food retail,Food retail
Hospitality; Eateries and restaurants,Eateries,fromFilters,Hospitality,Hospitality
Hospitality; Pub,Eateries,fromFilters,Hospitality,Hospitality
Utilities office; Energy,Electricity provider offices,fromFilters,Utilities office,Utilities office
Business and commerce; Surveying company,Environmental consulting and quantity surveying firms,fromFilters,Business and commerce,Business and commerce
Buildings; Environmental regulators and managers,Environmental regulators,fromFilters,Buildings,Buildings
Amenity; Electric car charging point,EV charging stations,fromFilters,Amenity,Amenity
Hospitality; Festivals and events management,Events management,fromFilters,Hospitality,Hospitality
Retail; Tickets,Events management,fromFilters,Retail,Retail
Manufacturing; Stonemason,Exterior building trades,fromFilters,Manufacturing,Manufacturing
Trades and services; Exteriors,Exterior building trades,fromFilters,Trades and services,Trades and services
Hospitality; Fast food,Fast food venues,fromFilters,Hospitality,Hospitality
Public transport; Ferry terminal,Ferry terminals,fromFilters,Public transport,Public transport
Business and commerce; Finances and investment,Financial advisors,fromFilters,Business and commerce,Business and commerce
Business and commerce; Financial advice,Financial advisors,fromFilters,Business and commerce,Business and commerce
Business and commerce; Financial advisor,Financial advisors,fromFilters,Business and commerce,Business and commerce
Business and commerce; Investment,Financial advisors,fromFilters,Business and commerce,Business and commerce
Governance; Community fire station,Fire stations,fromFilters,Governance,Governance
Governance; Fire station,Fire stations,fromFilters,Governance,Governance
Attractions; Fishery and fishing club,Fishing clubs,fromFilters,Attractions,Attractions
Social facility; Food banks and soup kitchens,Food banks,fromFilters,Social facility,Social facility
Retail; Home furnishing and homeware,Furnishing retail,fromFilters,Retail,Retail
Business and commerce; Interior designers,Furnishing services,fromFilters,Business and commerce,Business and commerce
Manufacturing; Framer,Furnishing services,fromFilters,Manufacturing,Manufacturing
Trades and services; Furniture repair,Furnishing services,fromFilters,Trades and services,Trades and services
Trades and services; Upholstery,Furnishing services,fromFilters,Trades and services,Trades and services
Gas network; Administrative office,Gas provider offices,fromFilters,Gas network,Gas network
Gas network; Works,Gas storage tanks,fromFilters,Gas network,Gas network
Gas network; Node,Gas terminals,fromFilters,Gas network,Gas network
Gas network; Substation,Gas terminals,fromFilters,Gas network,Gas network
Outdoors and natural environment; Grass land,Grasslands and meadows,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Outdoors and natural environment; Meadow,Grasslands and meadows,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Outdoors and natural environment; Shrub land,Grasslands and meadows,fromFilters,Outdoors and natural environment,Outdoors and natural environment
Buildings; Headquarters,Headquarters (other),fromFilters,Buildings,Buildings
Business and commerce; Online retailer,Headquarters (other),fromFilters,Business and commerce,Business and commerce
Business and commerce; Retail company offices,Headquarters (other),fromFilters,Business and commerce,Business and commerce
Business and commerce; Retail conglomerate,Headquarters (other),fromFilters,Business and commerce,Business and commerce
Social facility; Homecare service,Healthcare (homecare),fromFilters,Social facility,Social facility
Healthcare; Physiotherapy and massage,Healthcare (physiotherapy),fromFilters,Healthcare,Healthcare
Healthcare; Cosmetic and plastic surgery,Healthcare (specialist),fromFilters,Healthcare,Healthcare
Healthcare; Specialist,Healthcare (specialist),fromFilters,Healthcare,Healthcare
Retail; Healthcare,Healthcare (specialist),fromFilters,Retail,Retail
Public transport; Helipad,Helipads,fromFilters,Public transport,Public transport
College,Higher education,fromFilters,College,University
University,Higher education,fromFilters,University,University
Amenity; Fountain (decorative),Historic points of interest,fromFilters,Amenity,Amenity
Amenity; Scenic viewpoint,Historic points of interest,fromFilters,Amenity,Amenity
Historic; Artefact,Historic points of interest,fromFilters,Historic,Historic
Historic; Building,Historic points of interest,fromFilters,Historic,Historic
Historic; Folly,Historic points of interest,fromFilters,Historic,Historic
Historic; Fortifications,Historic points of interest,fromFilters,Historic,Historic
Historic; Lighthouse,Historic points of interest,fromFilters,Historic,Historic
Historic; Memorial,Historic points of interest,fromFilters,Historic,Historic
Historic; Milestones and stone markers,Historic points of interest,fromFilters,Historic,Historic
Historic; Mine,Historic points of interest,fromFilters,Historic,Historic
Historic; Monuments and statues,Historic points of interest,fromFilters,Historic,Historic
Historic; Plaque,Historic points of interest,fromFilters,Historic,Historic
Historic; Police call box,Historic points of interest,fromFilters,Historic,Historic
Historic; Quarry,Historic points of interest,fromFilters,Historic,Historic
Historic; Residences,Historic points of interest,fromFilters,Historic,Historic
Historic; Ruins and archaeological sites,Historic points of interest,fromFilters,Historic,Historic
Historic; Ships and aircraft,Historic points of interest,fromFilters,Historic,Historic
Historic; Tomb,Historic points of interest,fromFilters,Historic,Historic
Historic; War memorials and battlefields,Historic points of interest,fromFilters,Historic,Historic
Point of interest; Historic,Historic points of interest,fromFilters,Point of interest,Historic
Religious sites and buildings; Shrines and relics,Historic points of interest,fromFilters,Religious sites and buildings,Religious sites and buildings
Retail; Garden,Home and outdoor maintenance retail,fromFilters,Retail,Retail
Retail; Home improvement and DIY,Home and outdoor maintenance retail,fromFilters,Retail,Retail
Retail; Household and cleaning,Home and outdoor maintenance retail,fromFilters,Retail,Retail
Council; Park and street care,Home and outdoor maintenance services,fromFilters,Council,Governance
Environmental management; Pest control,Home and outdoor maintenance services,fromFilters,Environmental management,Environmental management
Trades and services; Cleaner,Home and outdoor maintenance services,fromFilters,Trades and services,Trades and services
Trades and services; Gardener,Home and outdoor maintenance services,fromFilters,Trades and services,Trades and services
Trades and services; Tool and equipment hire,Home and outdoor maintenance services,fromFilters,Trades and services,Trades and services
Wastewater; Septic system services,Home and outdoor maintenance services,fromFilters,Wastewater,Wastewater
Social facility; Homeless shelter,Homeless shelters,fromFilters,Social facility,Social facility
Healthcare; Hospital,Hospitals,fromFilters,Healthcare,Healthcare
Healthcare; Hospital administration office,Hospitals,fromFilters,Healthcare,Healthcare
Healthcare; Outpatient services,Hospitals,fromFilters,Healthcare,Healthcare
University; Hospital,Hospitals,fromFilters,University,University
Hospitality; Apartments and serviced apartments,Hotels,fromFilters,Hospitality,Hospitality
Hospitality; Guest house,Hotels,fromFilters,Hospitality,Hospitality
Hospitality; Hostel,Hotels,fromFilters,Hospitality,Hospitality
Hospitality; Hotels and motels,Hotels,fromFilters,Hospitality,Hospitality
Electricity generation; Generator,Independent or renewable power sources,fromFilters,Electricity generation,Electricity generation
Electricity generation; Geothermal,Independent or renewable power sources,fromFilters,Electricity generation,Electricity generation
Electricity generation; Intermittent renewables,Independent or renewable power sources,fromFilters,Electricity generation,Electricity generation
Electricity generation; Small and sustainable energy sources,Independent or renewable power sources,fromFilters,Electricity generation,Electricity generation
Business and commerce; Insurance,Insurance provider offices,fromFilters,Business and commerce,Business and commerce
Governance; Insurance,Insurance provider offices,fromFilters,Governance,Governance
Waste management; Integrated facility,Integrated waste facilities,fromFilters,Waste management,Waste management
Trades and services; Carpenter,Interior building trades,fromFilters,Trades and services,Trades and services
Trades and services; Glazing,Interior building trades,fromFilters,Trades and services,Trades and services
Trades and services; Interiors,Interior building trades,fromFilters,Trades and services,Trades and services
Hospitality; Internet cafe,Internet cafes,fromFilters,Hospitality,Hospitality
Business and commerce; Technology and software,IT software and services,fromFilters,Business and commerce,Business and commerce
Telecommunications; Data centre,IT software and services,fromFilters,Telecommunications,Telecommunications
Water; Lentic water bodies,Lakes and ponds,fromFilters,Water,Water
