layers,from,to,weight
l1FP_l2VPM,Cultural heritage and sense of place,Collective identity and community support,1
l1FP_l2VPM,Cultural heritage and sense of place,Environmental sustainability,1
l1FP_l2VPM,Cultural heritage and sense of place,Integrated development and planning,1
l1FP_l2VPM,Cultural heritage and sense of place,Socio-economic equality and equity,1
l1FP_l2VPM,Economic opportunity,Diverse livelihoods and employment,1
l1FP_l2VPM,Economic opportunity,Reliable communications and mobility,1
l1FP_l2VPM,Economic opportunity,Socio-economic equality and equity,1
l1FP_l2VPM,Economic opportunity,Sustainable economy,1
l1FP_l2VPM,Globalised connectivity,Diverse livelihoods and employment,1
l1FP_l2VPM,Globalised connectivity,Effective leadership and management,1
l1FP_l2VPM,Globalised connectivity,Empowered stakeholders,1
l1FP_l2VPM,Globalised connectivity,Environmental sustainability,1
l1FP_l2VPM,Globalised connectivity,Reliable communications and mobility,1
l1FP_l2VPM,Globalised connectivity,Sustainable economy,1
l1FP_l2VPM,Knowledge transfer and diffusion of innovation,Collective identity and community support,1
l1FP_l2VPM,Knowledge transfer and diffusion of innovation,Diverse livelihoods and employment,1
l1FP_l2VPM,Knowledge transfer and diffusion of innovation,Effective leadership and management,1
l1FP_l2VPM,Knowledge transfer and diffusion of innovation,Empowered stakeholders,1
l1FP_l2VPM,Knowledge transfer and diffusion of innovation,Reliable communications and mobility,1
l1FP_l2VPM,Knowledge transfer and diffusion of innovation,Socio-economic equality and equity,1
l1FP_l2VPM,Physical settlement,Collective identity and community support,1
l1FP_l2VPM,Physical settlement,Effective provision of critical services,1
l1FP_l2VPM,Physical settlement,Environmental sustainability,1
l1FP_l2VPM,Physical settlement,Integrated development and planning,1
l1FP_l2VPM,Physical settlement,Minimal vulnerability,1
l1FP_l2VPM,Physical settlement,Reduced exposure and fragility,1
l1FP_l2VPM,Physical settlement,Socio-economic equality and equity,1
l1FP_l2VPM,Pooling of resources,Collective identity and community support,1
l1FP_l2VPM,Pooling of resources,Diverse livelihoods and employment,1
l1FP_l2VPM,Pooling of resources,Effective leadership and management,1
l1FP_l2VPM,Pooling of resources,Integrated development and planning,1
l1FP_l2VPM,Pooling of resources,Reliable communications and mobility,1
l1FP_l2VPM,Pooling of resources,Sustainable economy,1
l1FP_l2VPM,Safety and security,Collective identity and community support,1
l1FP_l2VPM,Safety and security,Comprehensive security and rule of law,1
l1FP_l2VPM,Safety and security,Effective leadership and management,1
l1FP_l2VPM,Safety and security,Effective provision of critical services,1
l1FP_l2VPM,Safety and security,Effective safeguards to human health and life,1
l1FP_l2VPM,Safety and security,Empowered stakeholders,1
l1FP_l2VPM,Safety and security,Minimal vulnerability,1
l1FP_l2VPM,Safety and security,Reduced exposure and fragility,1
l1FP_l2VPM,Social opportunity and care,Collective identity and community support,1
l1FP_l2VPM,Social opportunity and care,Effective safeguards to human health and life,1
l1FP_l2VPM,Social opportunity and care,Empowered stakeholders,1
l1FP_l2VPM,Social opportunity and care,Integrated development and planning,1
l1FP_l2VPM,Social opportunity and care,Minimal vulnerability,1
l1FP_l2VPM,Social opportunity and care,Reliable communications and mobility,1
l1FP_l2VPM,Social opportunity and care,Socio-economic equality and equity,1
l1FP_l2VPM,Wellbeing,Collective identity and community support,1
l1FP_l2VPM,Wellbeing,Comprehensive security and rule of law,1
l1FP_l2VPM,Wellbeing,Diverse livelihoods and employment,1
l1FP_l2VPM,Wellbeing,Effective leadership and management,1
l1FP_l2VPM,Wellbeing,Effective provision of critical services,1
l1FP_l2VPM,Wellbeing,Effective safeguards to human health and life,1
l1FP_l2VPM,Wellbeing,Empowered stakeholders,1
l1FP_l2VPM,Wellbeing,Environmental sustainability,1
l1FP_l2VPM,Wellbeing,Integrated development and planning,1
l1FP_l2VPM,Wellbeing,Minimal vulnerability,1
l1FP_l2VPM,Wellbeing,Reduced exposure and fragility,1
l1FP_l2VPM,Wellbeing,Reliable communications and mobility,1
l1FP_l2VPM,Wellbeing,Socio-economic equality and equity,1
l1FP_l2VPM,Wellbeing,Sustainable economy,1
l2VPM_l3GF,Collective identity and community support,Ceremonies and services for major life events,1
l2VPM_l3GF,Collective identity and community support,Communication systems,1
l2VPM_l3GF,Collective identity and community support,Community activities and engagement,1
l2VPM_l3GF,Collective identity and community support,Foster social cohesion,1
l2VPM_l3GF,Collective identity and community support,Historical and cultural value contribution,1
l2VPM_l3GF,Collective identity and community support,Learning and education,1
l2VPM_l3GF,Collective identity and community support,Observance of religion,1
l2VPM_l3GF,Collective identity and community support,Recreational activities,1
l2VPM_l3GF,Collective identity and community support,Social interaction,1
l2VPM_l3GF,Collective identity and community support,Societal hazard regulation,1
l2VPM_l3GF,Collective identity and community support,"Travel (people, not goods)",1
l2VPM_l3GF,Comprehensive security and rule of law,Communication systems,1
l2VPM_l3GF,Comprehensive security and rule of law,Emergency services,1
