layer,from,to,weight
l1FP_l2VPM,To cook food,Ease of cooking,1
l1FP_l2VPM,To cook food,Even dissipation of heat,1
l1FP_l2VPM,To cook food,Minimise energy use,1
l1FP_l2VPM,To cook food,Minimise environmental impact,1
l1FP_l2VPM,To cook food,Time to heat food,1
l2VPM_l3GF,Ease of cooking,Control heat transfer to food,1
l2VPM_l3GF,Ease of cooking,Monitor condition of food,1
l2VPM_l3GF,Even dissipation of heat,Control dissipation of heat,1
l2VPM_l3GF,Even dissipation of heat,Control heat transfer to food,1
l2VPM_l3GF,Minimise energy use,Control dissipation of heat,1
l2VPM_l3GF,Minimise energy use,Control heat transfer to food,1
l2VPM_l3GF,Minimise energy use,Monitor condition of food,1
l2VPM_l3GF,Minimise environmental impact,Control dissipation of heat,1
l2VPM_l3GF,Minimise environmental impact,Control heat transfer to food,1
l2VPM_l3GF,Minimise environmental impact,Monitor condition of food,1
l2VPM_l3GF,Time to heat food,Control dissipation of heat,1
l2VPM_l3GF,Time to heat food,Control heat transfer to food,1
l2VPM_l3GF,Time to heat food,Generate heat,1
l2VPM_l3GF,Time to heat food,Monitor condition of food,1
l3GF_l4ORP,Control dissipation of heat,Set level of power,1
l3GF_l4ORP,Control dissipation of heat,Stop heat dissipating to surroundings,1
l3GF_l4ORP,Control heat transfer to food,Set level of power,1
l3GF_l4ORP,Control heat transfer to food,Support food,1
l3GF_l4ORP,Generate heat,Connect to electricity supply,1
l3GF_l4ORP,Generate heat,Generate radio waves,1
l3GF_l4ORP,Monitor condition of food,Countdown time,1
l3GF_l4ORP,Monitor condition of food,Generate light,1
l4ORP_l5PO,Connect to electricity supply,Plug,1
l4ORP_l5PO,Countdown time,Timer,1
l4ORP_l5PO,Generate light,Light,1
l4ORP_l5PO,Generate radio waves,Magnetron,1
l4ORP_l5PO,Set level of power,Controls,1
l4ORP_l5PO,Stop heat dissipating to surroundings,Door,1
l4ORP_l5PO,Stop heat dissipating to surroundings,Walls,1
l4ORP_l5PO,Support food,Plate,1
