descTerm,ahObject1
Business and commerce; Accountants and auditors,Accountancy firms
Business and commerce; Tax advisor,Accountancy firms
Business and commerce; Advertising and graphic design,Advertising
Business and commerce; Public relations,Advertising
Food production and horticulture; Agriculture,Agriculture and aquaculture
Food production and horticulture; Bee keeping,Agriculture and aquaculture
Food production and horticulture; Dairy,Agriculture and aquaculture
Food production and horticulture; Farming,Agriculture and aquaculture
Food production and horticulture; Greenhouses and glasshouses,Agriculture and aquaculture
Food production and horticulture; Horticulture,Agriculture and aquaculture
Food production and horticulture; Livestock,Agriculture and aquaculture
Food production and horticulture; Orchard,Agriculture and aquaculture
Food production and horticulture; Tree and plant nurseries,Agriculture and aquaculture
Outdoors and natural environment; Allotments and community gardens,Agriculture and aquaculture
"Airport; Aerodrome, terminal and gates",Airports (major)
"Transport infrastructure; Airport apron, runways and taxiways",Airports (major)
Governance; Ambulance station,Ambulance stations
Animal; Boarding,Animal care
Retail; Pet,Animal care
Trades and services; Animal grooming,Animal care
Animal; Shelter and welfare,Animal shelters
Retail; Boutique,Apparel retail
Retail; Clothing,Apparel retail
Retail; Clothing accessories,Apparel retail
Trades and services; Dry cleaning and laundrette,Apparel services
Trades and services; Tailor,Apparel services
Attractions; Aquarium,Aquariums
Waterway; Aquaducts and viaducts,Aqueducts and viaducts
Military; Barracks,Armed forces barracks
Military; Administration,Armed forces offices
Military; Reserves,Armed forces offices
Military; Land,Armed forces training grounds
Military; Parade grounds,Armed forces training grounds
Military; Training grounds,Armed forces training grounds
Outdoor facility; Training grounds,Armed forces training grounds
Healthcare; Hospice,Assisted living
Residential; Supported housing,Assisted living
Social facility; Drug rehabilitation,Assisted living
Social facility; Supported housing,Assisted living
Amenity; ATM,ATMs
Attractions,Attractions
Attractions; Amusement arcade,Attractions
Attractions; Bowling alley,Attractions
Attractions; Escape room,Attractions
Attractions; Go Karting centre,Attractions
Attractions; Karaoke,Attractions
Attractions; Miniature railway,Attractions
Attractions; Multiplex,Attractions
Attractions; Paintball,Attractions
Attractions; Trampoline park,Attractions
Attractions; Visitor centre,Attractions
Attractions; Water and theme parks,Attractions
Sports and games; Racing and motor sport,Attractions
Retail; Auction house,Auction houses
Vehicles; Retail,Automotive retail
Business and commerce; Bank office,Bank headquarters
Business and commerce; Bank,Banks
Business and commerce; Banks and building societies,Banks
Business and commerce; Credit union,Banks
Barrier,"Barriers, gates, and fences"
Barrier; Bollard,"Barriers, gates, and fences"
Barrier; Cycle,"Barriers, gates, and fences"
Barrier; Height restriction,"Barriers, gates, and fences"
Barrier; Wall,"Barriers, gates, and fences"
Attractions; Burlesque club,Bars and nightclubs
Attractions; Caberet club,Bars and nightclubs
Attractions; Nightclub,Bars and nightclubs
Attractions; Pool hall,Bars and nightclubs
Hospitality; Bar,Bars and nightclubs
University; Student union,Bars and nightclubs
Outdoors and natural environment; Beach,Beaches
Retail; Beauty and cosmetics,Beauty services
Trades and services; Beauty industry,Beauty services
Training; Beauty school,Beauty services
Amenity; Public trash bin,Bins
Waste management; Communal recycling bin,Bins
Waste management; Communal rubbish bin,Bins
Healthcare; Blood bank,Blood banks
Attractions; Botanical garden,Botanical gardens
Transport infrastructure; Bridge,Bridges
Telecommunications; Office,Broadband provider offices
Business and commerce; Production company,Broadcasting
Telecommunications; Broadcasting studio,Broadcasting
Brownfield site,Brownfield sites
Transport infrastructure; Railway land,Brownfield sites
Public transport; Bus station,Bus stations
Public transport; Bus stop,Bus stops
Business and commerce; Chambers,Business services
Manufacturing; Signmaker,Business services
Retail; Printing and copying,Business services
Trades and services; Business,Business services
Training; Meeting and training space,Business services
