level,vName,x,y,pos,theta
1,To cook food,-0.04361938736533613,-0.9990482215818578,1,4.6687557490848315
2,Ease of cooking,-1.8126155740733,-0.8452365234813985,1,3.5779249665883754
2,Even dissipation of heat,-1.1111404660392044,-1.6629392246050905,2,4.123340357836604
2,Minimise energy use,-0.08723877473067226,-1.9980964431637156,3,4.6687557490848315
2,Minimise environmental impact,0.9619775378387747,-1.7534535114150158,4,5.214171140333059
2,Time to heat food,1.7320508075688767,-1.0000000000000009,5,5.759586531581287
3,Control dissipation of heat,1.026060429977007,-2.819077862357725,1,5.061454830783556
3,Control heat transfer to food,-2.8190778623577253,-1.026060429977006,2,3.490658503988659
3,Generate heat,2.7189233611099493,-1.2678547852221,3,5.8468529941810035
3,Monitor condition of food,-1.2678547852220998,-2.7189233611099493,4,4.276056667386107
4,Connect to electricity supply,4.346666218300808,-1.164685702961343,1,6.021385919380437
4,Countdown time,-1.9017821778331498,-4.078385041664924,2,4.276056667386107
4,Generate light,-3.447199994035403,-2.892544243589425,3,3.8397243543875246
4,Generate radio waves,3.4471999940354032,-2.892544243589425,4,5.585053606381855
4,Set level of power,-8.2660928883010465e-016,-4.5,5,4.71238898038469
4,Stop heat dissipating to surroundings,1.9017821778331447,-4.0783850416649265,6,5.148721293383272
4,Support food,-4.346666218300808,-1.1646857029613416,7,3.4033920413889422
5,Plug,5.908846518073247,-1.0418890660015876,1,6.108652381980153
5,Timer,-3.3799203483817317,-4.957432645895969,2,4.11399037970092
5,Light,-5.040155538904628,-3.255277583194558,3,3.7150579792450733
5,Magnetron,5.040155538904626,-3.2552775831945597,4,5.709719981524306
5,Controls,-1.188876859196386,-5.881034927091263,5,4.512922780156766
5,Door,1.1888768591963839,-5.881034927091264,6,4.911855180612613
5,Walls,3.37992034838173,-4.95743264589597,7,5.3107875810684595
5,Plate,-5.908846518073247,-1.0418890660015854,8,3.3161255787892268
